"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 16:57:04 UTC 2025","Thu Oct 30 16:57:07 UTC 2025","2432","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"skipped","Thu Oct 30 16:57:41 UTC 2025","Thu Oct 30 16:57:41 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Thu Oct 30 16:56:05 UTC 2025","Thu Oct 30 16:56:05 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_cnn_forward",""
"skipped","Thu Oct 30 16:57:36 UTC 2025","Thu Oct 30 16:57:36 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Thu Oct 30 16:57:21 UTC 2025","Thu Oct 30 16:57:21 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_fp32_gemm_throughput",""
"passed","Thu Oct 30 16:56:10 UTC 2025","Thu Oct 30 16:56:11 UTC 2025","1854","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"passed","Thu Oct 30 16:57:07 UTC 2025","Thu Oct 30 16:57:11 UTC 2025","3121","tests","test_idle_baseline","","","","test_idle_baseline",""
"passed","Thu Oct 30 16:57:14 UTC 2025","Thu Oct 30 16:57:17 UTC 2025","2555","tests","test_inference_load","","","","test_inference_load[512]",""
"skipped","Thu Oct 30 16:55:46 UTC 2025","Thu Oct 30 16:55:46 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_mixed_precision_bf16_speedup",""
"skipped","Thu Oct 30 16:57:45 UTC 2025","Thu Oct 30 16:57:45 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_rnn_throughput",""
"skipped","Thu Oct 30 16:57:28 UTC 2025","Thu Oct 30 16:57:28 UTC 2025","2","tests","test_multi_gpu","","","","test_tensorflow_multi_gpu_train",""
"skipped","Thu Oct 30 16:56:33 UTC 2025","Thu Oct 30 16:56:33 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"skipped","Thu Oct 30 16:57:37 UTC 2025","Thu Oct 30 16:57:37 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_transformer_inference_latency","Simulate Transformer encoder forward latency."
"passed","Thu Oct 30 16:55:53 UTC 2025","Thu Oct 30 16:55:55 UTC 2025","1592","tests","test_cpu_reference","","","","CPU Baseline: Conv2D (512x512 Input, 64->128 Ch)",""
"passed","Thu Oct 30 16:55:51 UTC 2025","Thu Oct 30 16:55:51 UTC 2025","2","tests","test_cpu_benchmark","","","","test_cpu_matrix_arithmetic",""
"skipped","Thu Oct 30 16:57:25 UTC 2025","Thu Oct 30 16:57:25 UTC 2025","0","tests","test_multi_gpu","","","","test_cudnn_conv_benchmark",""
"passed","Thu Oct 30 16:57:46 UTC 2025","Thu Oct 30 16:57:47 UTC 2025","679","tests","test_parallel_training","","","","test_parallel_training",""
"skipped","Thu Oct 30 16:57:30 UTC 2025","Thu Oct 30 16:57:30 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_d2d_bandwidth","Benchmark Device-to-Device (GPU to GPU) memory copy bandwidth."
"passed","Thu Oct 30 16:55:49 UTC 2025","Thu Oct 30 16:55:49 UTC 2025","53","tests","test_cpu_benchmark","","","","test_cpu_sorting_benchmark",""
"skipped","Thu Oct 30 16:55:48 UTC 2025","Thu Oct 30 16:55:48 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Thu Oct 30 16:57:43 UTC 2025","Thu Oct 30 16:57:43 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup",""
"skipped","Thu Oct 30 16:57:29 UTC 2025","Thu Oct 30 16:57:29 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_kernel_launch_latency","Benchmark the overhead of launching a minimal CUDA kernel."
"skipped","Thu Oct 30 16:55:43 UTC 2025","Thu Oct 30 16:55:43 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_fp16_gemm_throughput",""
"passed","Thu Oct 30 16:56:36 UTC 2025","Thu Oct 30 16:56:38 UTC 2025","1835","tests","test_gpu_model_inference","","","","Inference Load (Batch 512) - FPS: 176440.16",""
"skipped","Thu Oct 30 16:57:27 UTC 2025","Thu Oct 30 16:57:27 UTC 2025","2","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"passed","Thu Oct 30 16:56:03 UTC 2025","Thu Oct 30 16:56:03 UTC 2025","69","tests","test_data_preprocessing","","","","test_data_preprocessing",""
"skipped","Thu Oct 30 16:57:34 UTC 2025","Thu Oct 30 16:57:34 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_distributeddataparallel_step","Benchmark a DDP training step, testing NCCL all-reduce."
"passed","Thu Oct 30 16:55:49 UTC 2025","Thu Oct 30 16:55:49 UTC 2025","4","tests","test_cpu_benchmark","","","","test_cpu_prime_benchmark",""
"skipped","Thu Oct 30 16:57:28 UTC 2025","Thu Oct 30 16:57:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_device_detection","Validate CUDA/NVIDIA detection and info logging."
"skipped","Thu Oct 30 16:57:38 UTC 2025","Thu Oct 30 16:57:38 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"skipped","Thu Oct 30 16:55:47 UTC 2025","Thu Oct 30 16:55:47 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"skipped","Thu Oct 30 16:57:44 UTC 2025","Thu Oct 30 16:57:44 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_gnn_throughput","Benchmark a GNN layer, relying on underlying sparse-dense CUDA kernels."
"skipped","Thu Oct 30 16:55:45 UTC 2025","Thu Oct 30 16:55:45 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_gpu_cpu_transfer_bandwidth",""
"skipped","Thu Oct 30 16:57:25 UTC 2025","Thu Oct 30 16:57:25 UTC 2025","2","tests","test_multi_gpu","","","","test_cuda_tensorcore_mma",""
"skipped","Thu Oct 30 16:57:42 UTC 2025","Thu Oct 30 16:57:42 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT and collecting telemetry."
"passed","Thu Oct 30 16:56:42 UTC 2025","Thu Oct 30 16:57:04 UTC 2025","21912","tests","test_gpu_stress","","","","test_gpu_stress",""
"skipped","Thu Oct 30 16:57:39 UTC 2025","Thu Oct 30 16:57:39 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_gpu_cpu_transfer_bandwidth","Measure GPU to CPU data transfer bandwidth."
"skipped","Thu Oct 30 16:55:45 UTC 2025","Thu Oct 30 16:55:45 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_device_memory_bandwidth",""
"skipped","Thu Oct 30 16:57:31 UTC 2025","Thu Oct 30 16:57:31 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_fp32_gemm_throughput","Benchmark FP32 GEMM performance (non-Tensor Core)."
"skipped","Thu Oct 30 16:57:32 UTC 2025","Thu Oct 30 16:57:32 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_fp16_tensor_core_throughput","Benchmark FP16 Tensor Core performance (requires recent NVIDIA GPU)."
"skipped","Thu Oct 30 16:57:27 UTC 2025","Thu Oct 30 16:57:27 UTC 2025","1","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"skipped","Thu Oct 30 16:57:40 UTC 2025","Thu Oct 30 16:57:40 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
"passed","Thu Oct 30 16:57:18 UTC 2025","Thu Oct 30 16:57:20 UTC 2025","2720","tests","test_inference_load","","","","test_inference_load[1024]",""
"passed","Thu Oct 30 16:56:23 UTC 2025","Thu Oct 30 16:56:29 UTC 2025","5199","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Thu Oct 30 16:56:04 UTC 2025","Thu Oct 30 16:56:04 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_fp16_gemm",""
"skipped","Thu Oct 30 16:57:23 UTC 2025","Thu Oct 30 16:57:23 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"skipped","Thu Oct 30 16:56:09 UTC 2025","Thu Oct 30 16:56:09 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_end_to_end_inference",""
"skipped","Thu Oct 30 16:57:21 UTC 2025","Thu Oct 30 16:57:21 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_memory_bandwidth",""
"passed","Thu Oct 30 16:55:50 UTC 2025","Thu Oct 30 16:55:50 UTC 2025","1","tests","test_cpu_benchmark","","","","test_cpu_fibonacci_benchmark",""
"skipped","Thu Oct 30 16:57:44 UTC 2025","Thu Oct 30 16:57:44 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_fp32_matmul_benchmark",""
"skipped","Thu Oct 30 16:57:35 UTC 2025","Thu Oct 30 16:57:35 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_max_vram_allocation","Attempt to allocate the maximum available VRAM to test stability and fragmentation."
"skipped","Thu Oct 30 16:57:40 UTC 2025","Thu Oct 30 16:57:40 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_mixed_precision_speedup","Compare FP32 vs AMP performance on a CNN forward pass."
"skipped","Thu Oct 30 16:57:23 UTC 2025","Thu Oct 30 16:57:23 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_opencl_kernel_execution",""
"passed","Thu Oct 30 16:55:51 UTC 2025","Thu Oct 30 16:55:52 UTC 2025","822","tests","test_cpu_reference","","","","CPU Baseline: 2048x2048 Matmul (0.0 GFLOPS/s)",""
