"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NVIDIA torch.compile","torch.compile vs Eager Speedup","0","0","0","1","0"
"","GPU Specialized Performance","Mixed Precision Matrix Multiplication","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU DDP (NCCL) Throughput","0","0","0","1","0"
"","GPU Performance Benchmarks","Inference FPS Benchmark","0","0","3","0","0"
"","GPU Core Compute Benchmarks","Tensor Arithmetic Operations","0","0","1","0","0"
"","NVIDIA GPU","Matrix Multiplication Throughput","0","0","0","1","0"
"","NVIDIA cuDNN","FP16 vs FP32 Speedup","0","0","0","1","0"
"","GPU Deep Learning Workloads","Model Inference Steady-State","0","0","3","0","0"
"","NVIDIA GPU","GPU ↔ CPU Transfer Bandwidth","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Tensor Core FP16 vs FP32 Speedup","0","0","0","1","0"
"","NVIDIA GPU Accelerator","JIT Fusion Speedup","0","0","0","1","0"
"","NVIDIA GPU","cuDNN RNN (GRU) Throughput","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU Synchronization","0","0","0","1","0"
"","CUDA Tensor Cores","Matrix Multiply–Accumulate (MMA) TensorCore Benchmark","0","0","0","1","0"
"","GPU Core Compute Benchmarks","Matrix Multiplication Performance","0","0","1","0","0"
"","System Parallelism","Multi-Threaded Load Test","0","0","1","0","0"
"","TensorFlow Distributed","Multi-GPU Training Simulation","0","0","0","1","0"
"","GPU Deep Learning Workloads","Convolutional Network Forward Pass","0","0","1","0","0"
"","NVIDIA CUDA Graphs","Kernel Launch Overhead Reduction","0","0","0","1","0"
"","NVIDIA GPU Accelerator","GPU Memory Bandwidth","0","0","0","1","0"
"","NVIDIA cuDNN","Convolution Performance Test","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU DataParallel Throughput","0","0","0","1","0"
"","GPU Resource Management","Memory Allocation and Cleanup","0","0","1","0","0"
"","cuDNN","Convolution Benchmark","0","0","0","1","0"
"","Python GPU Libraries","CuPy Vectorized Operations","0","0","0","1","0"
"","NVIDIA GPU","VRAM Stability Test","0","0","0","1","0"
"","GPU Deep Learning Workloads","Transformer Encoder Inference","0","0","1","0","0"
"","NVIDIA GPU","Transformer Encoder Inference","0","0","0","1","0"
"","NVIDIA GNN","GNN (GCN) Inference Throughput","0","0","0","1","0"
"","System Resource Monitoring","Idle System Baseline Metrics","0","0","1","0","0"
"","PyTorch AMP","Automatic Mixed Precision Matrix Ops","0","0","0","1","0"
"","Data Pipeline Benchmarks","Simple CPU Data Preprocessing","0","0","1","0","0"
"","NVIDIA GPU Accelerator","AMP Training Step Throughput","0","0","0","1","0"
"","NVIDIA GPU","DataLoader to GPU Transfer","0","0","0","1","0"
"","RAPIDS cuML","GPU Accelerated Linear Regression","0","0","0","1","0"
"","GPU Stability and Stress Testing","Sustained Compute Stress Test","0","0","1","0","0"
"","NVIDIA cuDNN","BatchNorm Throughput Test","0","0","0","1","0"
"","NVIDIA GPU Accelerator","CUDA Kernel Launch Latency","0","0","0","1","0"
"","NVIDIA GPU","CNN Forward Pass Throughput","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU P2P Bandwidth (NVLink)","0","0","0","1","0"
"","NVIDIA GPU","Sparse EmbeddingBag Lookup","0","0","0","1","0"
"","NVIDIA GPU","cuFFT (FFT) Throughput","0","0","0","1","0"
"","NVIDIA TensorRT","FP16 Inference Speedup","0","0","0","1","0"
