"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NVIDIA GPU Accelerator","FP32 Matrix Multiplication Throughput","0","0","0","1","0"
"","GPU Performance Benchmarks","Inference FPS Benchmark","0","0","3","0","0"
"","Intel GPU Accelerator","End-to-End Inference Throughput","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU Peer-to-Peer Bandwidth","0","0","0","1","0"
"","cuDNN","Convolution Benchmark","0","0","0","1","0"
"","NVIDIA GPU","CNN Forward Pass Throughput","0","0","0","1","0"
"","DirectML GPU Accelerator","CNN Forward Throughput","0","0","0","1","0"
"","NVIDIA cuDNN Acceleration","FP32 Matrix Multiplication TFLOPS","0","0","0","1","0"
"","TensorFlow Distributed","Multi-GPU Training Simulation","0","0","0","1","0"
"","DirectML GPU Accelerator","FP32 Matrix Multiplication","0","0","0","1","0"
"","GPU Specialized Performance","Mixed Precision Matrix Multiplication","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Kernel Launch Latency","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Host-to-Device Memory Bandwidth","0","0","0","1","0"
"","NVIDIA cuDNN Acceleration","Convolution Forward Pass Throughput","0","0","0","1","0"
"","GPU Resource Management","Memory Allocation and Cleanup","0","0","1","0","0"
"","GPU Deep Learning Workloads","Model Inference Steady-State","0","0","3","0","0"
"","NVIDIA GPU","Sparse EmbeddingBag Lookup","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU All-Reduce Latency","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Device Detection and Info","0","0","0","1","0"
"","NVIDIA GPU","cuDNN RNN (GRU) Throughput","0","0","0","1","0"
"","NVIDIA GPU","Automatic Mixed Precision (AMP) Speedup","0","0","0","1","0"
"","DirectML GPU Accelerator","Mixed Precision Gain","0","0","0","1","0"
"","Intel GPU Accelerator","FP32 Matrix Multiplication","0","0","0","1","0"
"","NVIDIA GPU","DataLoader to GPU Transfer","0","0","0","1","0"
"","AMD GPU Accelerator","Transformer Encoder Latency","0","0","0","1","0"
"","NVIDIA GPU","cuFFT (FFT) Throughput","0","0","0","1","0"
"","NVIDIA GPU","Matrix Multiplication Throughput","0","0","0","1","0"
